Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
One shirt,Clothes,"Mr. Mohsin Hafeez, JS (D) Sect.",Military,2002-08-10,350.0,0.0,Yes,Yes
One  model  of,Decoration Pieces,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-08-17,4500.0,0.0,Yes,Yes
Two  Box  Printed,Clothes,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-08-20,300.0,0.0,Yes,Yes
Wrist  Watch,Watch,"Mr.  Imtiaz  A.  Kazi,  Director  (Gulf
Region), Foreign Affairs",Bureaucracy,2002-08-20,75000.0,9750.0,Yes,Yes
One  Engraved,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-08-21,2700.0,0.0,Yes,Yes
a,Watch,"Mr.  Abdul  Sattar,  Former  Foreign
Minister",Gen. Musharraf,2002-08-26,216850.0,31028.0,Yes,Yes
One shirt,Clothes,"Col  Salik  Nawaz  (Retd),  Deputy
Chief  Protocol  Ministry  of  Foreign
Affairs",Military,2002-08-28,0.0,0.0,Yes,Yes
Cufflinks  Set,Jewellery/Accessories,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-08-28,0.0,0.0,Yes,Yes
Four  Marble,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-08-29,1500.0,0.0,Yes,Yes
Wrist  Watch,Watch,"Mr.  Noorullah  Khan,  Director
General (ME), Foreign Affairs",Gen. Musharraf,2002-08-29,75000.0,9750.0,Yes,Yes
Wrist  Watch,Watch,"Major  General  Nadeem  Taj,  Military
Secretary to Chief Executive",Military,2002-08-30,75000.0,9750.0,Yes,Yes
One Wrist Watch,Watch,Mrs. (Major General Nadeem Taj),Military,2002-08-30,101500.0,0.0,Yes,Yes
Wrist  Watch,Watch,"Lt. Col. Ejaz Shahid, APS (C)",Military,2002-08-30,75000.0,9750.0,Yes,Yes
Wrist  Watch,Watch,"Major  (Dr)  Abdul  Basit,  Medical
Officer, Army House.",Military,2002-08-30,75000.0,9750.0,Yes,Yes
Wrist  Watch,Watch,"Mr.  Saifullah,  UDC  (BS-07),
President Sectt.",Bureaucracy,2002-08-31,75000.0,0.0,Yes,Yes
One  table  clock,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-08-31,100860.0,15129.0,Yes,Yes
One  jewelry  set,Jewellery/Accessories,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-08-31,304400.0,0.0,Yes,Yes
a,Decoration Pieces,"General  Pervez  Musharraf,",Military,2002-08-31,0.0,747.0,Amount,Amount
One Carpet,Carpet,"Mr.  Altaf  M.  Saleem,  Minister  for
Privatization Commission ",Gen. Musharraf,2002-09-02,10000.0,0.0,Yes,Yes
One carpet,Carpet,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-09-04,10000.0,0.0,Yes,Yes
One  kettle,Crockery,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-09-04,1800.0,0.0,Yes,Yes
One  dinner  set,Crockery,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-09-04,16000.0,900.0,Yes,Yes
One  dinner  set,Crockery,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-09-04,7000.0,0.0,Yes,Yes
One  dinner  set,Crockery,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-09-04,7000.0,0.0,Yes,Yes
One  tea  set  ,Crockery,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-09-04,4000.0,0.0,Yes,Yes
One  tea  set  ,Crockery,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-09-04,2500.0,0.0,Yes,Yes
One necklace,Jewellery/Accessories,"Begum  General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-09-04,15000.0,750.0,Yes,Yes
One  great  seal,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-09-04,0.0,0.0,Yes,Yes
One  replica  of,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-09-04,15000.0,750.0,Yes,Yes
One  decoration,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-09-06,1200.0,0.0,Yes,Yes
One  Wrist  watch,Watch,"Maj Sher Ali Baz, Security Officer",Military,2002-09-14,25000.0,2250.0,Yes,Yes
Wrist  Watch,Watch,"Hav. Hakim Badshah, Gunman",Police,2002-09-14,30000.0,3000.0,Yes,Yes
Wrist  Watch,Watch,"NK  Tariq  Mahmood,  Gunman  (BS-
09)",Military,2002-09-14,30000.0,0.0,Yes,Yes
Wrist  Watch,Watch,"L/NK  Daud-ur-Rehman,  Gunman
(BS-07)",Military,2002-09-14,30000.0,0.0,Yes,Yes
Wrist  Watch,Watch,"Sep. Arshad Alam, Gunman (BS-05)",Military,2002-09-14,30000.0,0.0,Yes,Yes
Wrist  Watch,Watch,"Mr.  Zahoor  Ahmed,  Gunman,  (BS-
05)",Police,2002-09-14,30000.0,0.0,Yes,Yes
Wrist  Watch,Watch,"Mr.  Muhammad  Kamil,  Controller
Engineering (PTV)",Media,2002-09-17,30000.0,3000.0,Yes,Yes
One Wrist Watch,Watch,"Mr.  S.  Iqtidar  Hussain Kausar,  Chief
Cameraman, PTV",Media,2002-09-21,30000.0,3000.0,Yes,Yes
Wrist  Watch,Watch,"Mr. Muhammad Tariq, Photographer,
PID",Media,2002-09-26,30000.0,3000.0,Yes,Yes
a,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-10-01,2000.0,0.0,Yes,Yes
One  Seal  of  the,Decoration Pieces,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-10-01,1500.0,0.0,Yes,Yes
One wooden box,Decoration Pieces,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-10-01,1000.0,0.0,Yes,Yes
One model,Decoration Pieces,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-10-01,0.0,0.0,Yes,Yes
One bowl,Decoration Pieces,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-10-01,1800.0,0.0,Yes,Yes
One  battery,Tech,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-10-01,3500.0,0.0,Yes,Yes
One silk scarf,Clothes,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-10-01,60.0,0.0,Yes,Yes
One  wooden,Not Specified,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-10-01,0.0,0.0,Yes,Yes
Six  mates  and,Not Specified,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-10-01,1200.0,0.0,Yes,Yes
One  Pen  with,Pen,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-10-01,600.0,0.0,Yes,Yes
One  crystal  Seal,Decoration Pieces,"Begum  General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-10-01,0.0,0.0,Yes,Yes
One  Pictorial,Not Specified,"Mr.  Altaf  M.  Saleem,  Minister  for
Privatization Commission ",Gen. Musharraf,2002-10-05,0.0,0.0,Yes,Yes
One Mirror,Decoration Pieces,"Mr.  Altaf  M.  Saleem,  Minister  for
Privatization Commission ",Gen. Musharraf,2002-10-05,1500.0,0.0,Yes,Yes
Olive  oil  ,Food,"Mr.  Altaf  M.  Saleem,  Minister  for
Privatization Commission ",Gen. Musharraf,2002-10-16,300.0,0.0,Yes,Yes
One  Tea  Sets,Crockery,"Mr.  Abdul  Razak  Dawood,  Minister
for  Commerce,  Industries  and
Production",Gen. Musharraf,2002-10-19,3500.0,0.0,Yes,Yes
One  Tea  Set  ,Crockery,"Mr.  Abdul  Razak  Dawood,  Minister
for  Commerce,  Industries  and
Production",Gen. Musharraf,2002-10-19,3500.0,0.0,Yes,Yes
One  wrist  watch,Watch,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-10-22,20000.0,1500.0,Yes,Yes
One  single,Jewellery/Accessories,"Mrs.  Shaukat  Aziz  wife  of  Finance
Minister",Gen. Musharraf,2002-10-22,26000.0,0.0,Yes,Yes
One Ladies Shirt,Clothes,"Mrs.  Shaukat  Aziz  wife  of  Finance
Minister",Gen. Musharraf,2002-10-22,400.0,0.0,Yes,Yes
Wrist  Watch,Watch,"Mr. Anwar Saeed, Controller, (News)
CNO, PBC, Islamabad",Media,2002-10-29,30000.0,0.0,Yes,Yes
One  Printed,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-10-30,400.0,0.0,Yes,Yes
One Wrist Watch,Watch,"Mr.  Riaz  Khokhar,  Secretary,
Ministry of Foreign Affairs",Gen. Musharraf,2002-11-01,0.0,4500.0,Yes,Yes
One Wrist Watch,Watch,"Mr.  Sher  Afgan  Khan,  Additional
Secretary  (ME&A),  Ministry  of
Foreign Affairs",Gen. Musharraf,2002-11-01,0.0,3300.0,Yes,Yes
Wrist  watch,Watch,"Dr.  Muhammad  Tariq  Hassan,
Advisor to Finance Minister",Gen. Musharraf,2002-11-04,44550.0,5183.0,Yes,Yes
Metallic Horse,Decoration Pieces,"Minister  for  Information  &  Media
Development",Gen. Musharraf,2002-11-05,3000.0,0.0,Yes,Yes
One Steel Box,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-11-25,2500.0,0.0,Yes,Yes
One flower Vase,Decoration Pieces,"Secretary, Economic Affairs Division",Bureaucracy,2002-12-03,400.0,0.0,Yes,Yes
One ,Jewellery/Accessories,"Mr.  Shaukat  Aziz  Advisor  to  PM  on
Finance & Economic Affairs",Gen. Musharraf,2002-12-10,178760.0,25314.0,Yes,Yes
a,Watch,"Mr.  Shaukat  Aziz  Advisor  to  PM  on
Finance & Economic Affairs",Gen. Musharraf,2002-12-10,68000.0,14460.0,Yes,Yes
One visiting card,Not Specified,"Advisor  to  the  Prime  Minister  on
Finance & Economic Affairs",Gen. Musharraf,2002-12-14,300.0,0.0,Yes,Yes
One  jewellery,Jewellery/Accessories,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-10-02,2000.0,0.0,Yes,Yes
a,Decoration Pieces,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-10-29,3500.0,0.0,Yes,Yes
a,Decoration Pieces,"General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-10-29,7500.0,0.0,Yes,Yes
a,Jewellery/Accessories,"Major  General  Nadeem  Taj,  Military
Secretary to Chief Executive",Military,2002-10-29,3800.0,0.0,Yes,Yes
Pen set,Pen,"Mr.  Shaukat  Aziz,  Advisor  to  the
Prime  Minister  on  Finance  and",Gen. Musharraf,2002-12-12,1500.0,0.0,Auctioned,"Auctioned
for"
One  wooden,Not Specified,"Mr.  Shaukat  Aziz,  Advisor  to  the
Prime  Minister  on  Finance  and
Economic Affairs",Gen. Musharraf,2002-12-20,1200.0,0.0,Yes,Yes
Flower vase,Decoration Pieces,"Mr.  Shaukat  Aziz,  Advisor  to  the
Prime  Minister  on  Finance  and
Economic Affairs",Gen. Musharraf,2002-12-27,1000.0,0.0,Yes,Yes
One,Carpet,"General  Parvez Musharraf, President
of Pakistan",Military,2002-12-30,30000.0,3000.0,Yes,Yes
a,Carpet,"Mir  Zafarullah  Khan  Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,2002-12-31,11000.0,150.0,Yes,Yes
Ice  cream  Bowl,Crockery,"Mr.  Waqar  Masood
Khan,  Secretary,
Economic Affairs",Gen. Musharraf,2003-01-02,500.0,0.0,Auctioned,"Auctioned for
Rs.1,111/-"
One  decoration,Decoration Pieces,"Mr.  Shaukat  Aziz,
Advisor to the Prime
Minister  on  Finance
and  Economic
Affairs",Gen. Musharraf,2003-01-07,1000.0,0.0,Auctioned,"Auctioned for
Rs.1,615/-"
One carpet,Carpet,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,2003-01-09,30000.0,3000.0,Yes,Yes
One  decoration,Decoration Pieces,"Brig.  Imran  Malik,
Military  Secretary  to
the Prime Minister",Military,2003-01-09,350.0,0.0,Yes,Yes
One wall clock,Decoration Pieces,"Cdr. Ejaz Shah, OSD
Admin,  PM
Secretariat",Military,2003-01-09,400.0,0.0,Yes,Yes
One wall clock,Decoration Pieces,"Sqdn  Ldr  Waqar
Ahmed,  ADC  to  the
Prime Minister",Military,2003-01-09,400.0,0.0,Yes,Yes
Decoration piece,Decoration Pieces,"Mr.  Aurangzeb
Khan,  Comptroller
Household,  Prime
Minister, Secretariat",Military,2003-01-09,4500.0,0.0,Yes,Yes
One  decoration,Decoration Pieces,"Capt.  Shah  Nawaz
Jamali,  ADC  to  the
Prime Minister",Military,2003-01-09,350.0,0.0,Yes,Yes
Pair  of  candle,Not Specified,"Capt  (R)  Abdul
Saeed,  SP  Security
Prime  Minister
Secretariat",Military,2003-01-09,3000.0,0.0,Yes,Yes
One Flower vase,Decoration Pieces,"Malik  Nisar  Ahmed,
Suptt Prime Minister
Secretariat",Bureaucracy,2003-01-09,3500.0,0.0,Yes,Yes
One flower vase,Decoration Pieces,"Mr.  Mushtaq
Ahmed,  Assistant
Prime  Minister
Secretariat",Bureaucracy,2003-01-09,3500.0,0.0,Yes,Yes
Pair  of  Candle,Not Specified,"Mr. Khadim Hussain,
Assistant,  Prime
Minister Secretariat",Bureaucracy,2003-01-09,3000.0,0.0,Yes,Yes
Pair  of  Candle,Not Specified,"Mr.  Zahid  Sarfraz,
UDC  Prime  Minister
Secretariat",Bureaucracy,2003-01-09,3000.0,0.0,Yes,Yes
Pair  of  candle,Not Specified,"Mr.  Talat  Mehmood,
UDC  Prime  Minister
Secretariat",Bureaucracy,2003-01-09,3000.0,0.0,Yes,Yes
Flower vase,Decoration Pieces,"Mr.  Zafar  Iqbal,
UDC,  Prime  Minister
Secretariat",Bureaucracy,2003-01-09,3500.0,0.0,Yes,Yes
Flower vase,Decoration Pieces,"Mr.  M.  Adnan  Jamil,
LDC  Prime  Minister
Secretariat",Bureaucracy,2003-01-09,3500.0,0.0,Yes,Yes
Pair  of  candle,Not Specified,Foreign Secretary,Bureaucracy,2003-01-11,3000.0,0.0,Yes,Yes
Model  of  Khana,Not Specified,"Zafarullah  khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,2003-01-15,50000.0,0.0,"Displayed at PM
House","Displayed at PM
House"
Piece  of  Ghilaf  e,Not Specified,"Zafarullah  khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,2003-01-15,0.0,0.0,Yes,Yes
One  wrist  watch,Watch,"Brig  Imran  Malik,
Military  Secretary  to
the Prime Minister",Military,2003-01-15,72000.0,9300.0,Yes,Yes
One  wrist  watch,Watch,"Brig  (R)  Mansoor
Hamid,  Special
Assistant  to  the
Prime Minister",Military,2003-01-15,62000.0,7800.0,Yes,Yes
One  wrist  watch,Watch,"Mr.  Shaukat  Aziz,
Advisor to the Prime
Minister  on  Finance
and  Economic
Affairs",Gen. Musharraf,2003-01-16,62000.0,7800.0,Yes,Yes
One carpet,Carpet,"Mr.  Aftab  Ahmed
Khan  Sherpao,
Minister  for  Water  &
Power",Gen. Musharraf,2003-01-20,4500.0,0.0,Yes,Yes
One  tea  set  ,Crockery,"Mr.  Aftab  Ahmed
Khan  Sherpao,
Minister  for  Water  &
Power",Gen. Musharraf,2003-01-20,2200.0,0.0,Auctioned,"Auctioned for
Rs.1,500/-"
One  wrist  watch,Watch,Foreign Minister,Gen. Musharraf,2003-01-20,5200.0,0.0,Auctioned,"Auctioned for
Rs.4,000/-"
a,Watch,"Mr.  Awais  Ahmed
Khan  Leghari,
Minister  for  IT  &
Telecommunications",Gen. Musharraf,2003-01-21,0.0,0.0,Auctioned,"Auctioned
a. for Rs.1,001/-
b. for Rs.1,180/-"
One  decoration,Decoration Pieces,"Ch.  Amir  Hussain,
Speaker  National
Assembly",Gen. Musharraf,2003-01-21,1000.0,0.0,Auctioned,"Auctioned for
Rs.3,500/-"
One  decoration,Decoration Pieces,"Ch.  Amir  Hussain,
Speaker  National
Assembly",Gen. Musharraf,2003-01-21,4500.0,0.0,"Displayed at
Prime Ministers
House","Displayed at
Prime Ministers
House"
Wrist  watch,Watch,"Mr.  Khushnood  Ali
Khan",Media,2003-01-31,85000.0,11250.0,Yes,Yes
a,Not Specified,"Mr.  Khushnood  Ali
Khan",Media,2003-01-31,33000.0,3450.0,Yes,Yes
One  wrist  watch,Watch,Mr. Nawaz Raza,Media,2003-01-31,115000.0,15750.0,Yes,Yes
One  Wrist  watch,Watch,Mr. Nawaz Raza,Media,2003-01-31,18000.0,1275.0,Yes,Yes
One  wrist  watch,Watch,Mr. Saleem Bokhari,Media,2003-01-31,80000.0,10500.0,Yes,Yes
One  wrist  watch,Watch,Mr. Saleem Bokhari,Media,2003-01-31,18000.0,1200.0,Yes,Yes
One  wrist  watch,Watch,"Mr.  Aamir  Ilyas
Rana",Media,2003-01-31,85000.0,0.0,Yes,Yes
One  wrist  watch,Watch,"Mr.  Aamir  Ilyas
Rana",Media,2003-01-31,18500.0,0.0,Yes,Yes
One  wrist  watch,Watch,Mr. Tariq Mahmood,Media,2003-01-31,80000.0,0.0,Yes,Yes
One  wrist  watch,Watch,Mr. Tariq Mahmood,Media,2003-01-31,18500.0,0.0,Yes,Yes
One  wrist  watch,Watch,Mr. Shakoor Tahir,Media,2003-01-31,335000.0,0.0,Yes,Yes
a,Not Specified,Mr. Shakoor Tahir,Media,2003-01-31,35200.0,0.0,Yes,Yes
One  wrist  watch,Watch,Mr. Abdul Hamid,Media,2003-01-31,85000.0,11250.0,Yes,Yes
One  wrist  watch,Watch,Mr. Abdul Hamid,Media,2003-01-31,18000.0,1200.0,Yes,Yes
One  wrist  watch,Watch,Mr. Qamarullah Ch.,Media,2003-01-31,80000.0,10500.0,Yes,Yes
One  wrist  watch,Watch,Mr. Qamarullah Ch.,Media,2003-01-31,18500.0,1275.0,Yes,Yes
One  wrist  watch,Watch,Mr. Tariq Saleem,Media,2003-01-31,80000.0,10500.0,Yes,Yes
One  wrist  watch,Watch,Mr. Tariq Saleem,Media,2003-01-31,18000.0,1200.0,Yes,Yes
One  wrist  watch,Watch,"Mr.  Muhammad
Younis Khan",Media,2003-01-31,85000.0,11250.0,Yes,Yes
One  wrist  watch,Watch,"Mr.  Muhammad
Younis",Media,2003-01-31,18500.0,1275.0,Yes,Yes
One  wrist  watch,Watch,"Syed  Javid  Hasnain
Kazmi,  cameraman
PTV news",Media,2003-01-31,85000.0,11250.0,Yes,Yes
One  wrist  watch,Watch,"Syed  Javid  Hussain
Kazmi,  cameraman
PTV news",Media,2003-01-31,18500.0,1275.0,Yes,Yes
One  wrist  watch,Watch,Mr. Mohsin Ali,Media,2003-01-31,0.0,11250.0,Yes,Yes
One  wrist  watch,Watch,Mr. Mohsin Ali,Media,2003-01-31,0.0,1350.0,Yes,Yes
a,Watch,"Mr.  Abdus  Sattar
Laleka,  Labour
Minister",Gen. Musharraf,2003-02-01,214500.0,30675.0,Yes,Yes
Two golden coins,Not Specified,"Mr.  Abdus  Sattar
Laleka,  Labour
Minister",Gen. Musharraf,2003-02-01,32800.0,3420.0,Yes,Yes
Wrist  watch,Watch,"Mr.  Abdus  Sattar
Laleka,  Labour
Minister",Gen. Musharraf,2003-02-01,55000.0,6750.0,Yes,Yes
Flower vase,Decoration Pieces,"Mr.  Abdus  Sattar
Laleka,  Labour
Minister",Gen. Musharraf,2003-02-01,4000.0,0.0,Yes,Yes
One table clock,Not Specified,"Mr.  Abdus  Sattar
Laleka,  Labour
Minister",Gen. Musharraf,2003-02-01,25000.0,2250.0,Yes,Yes
Wrist watch Rolex,Watch,"Syed  Afzal  Hussain
Shah,  protocol
Officer, Foreign
Affairs",Gen. Musharraf,2003-02-01,270000.0,39000.0,Yes,Yes
a,Not Specified,"Syed  Afzal  Hussain
Shah,  Protocol
Officer,  Foreign
Affairs",Gen. Musharraf,2003-02-01,27500.0,2625.0,Yes,Yes
One  wrist  watch,Watch,"Syed  Afzal  Hussain
Shah,  Protocol
Officer,  Foreign
Affairs",Gen. Musharraf,2003-02-01,45000.0,5250.0,Yes,Yes
Wrist watch Rolex,Watch,"Col.  Salik  Nawaz,
Deputy  Chief  of
Protocol,  Foreign
Affairs",Military,2003-02-01,335000.0,48750.0,Yes,Yes
a,Not Specified,"Col.  Salik  Nawaz,
Deputy  Chief  of
Protocol,  Foreign
Affairs",Military,2003-02-01,41500.0,4725.0,Yes,Yes
One  wrist  watch,Watch,"Col.  Salik  Nawaz,
Deputy  Chief  of
Protocol,  Foreign
Affairs",Military,2003-02-01,0.0,5250.0,Yes,Yes
One  gift  pack,Crockery,"General  Parvez
Musharraf, President
of Pakistan",Military,2003-02-03,3000.0,0.0,Yes,Yes
One  wrist  watch,Watch,"Mr.  Riaz  H.
Khokhar,  Foreign
Secretary",Bureaucracy,2003-02-03,62000.0,7800.0,Yes,Yes
Wrist watch Rolex,Watch,"Sheikh  Rashid
Ahmed,  Minister  for
Information  and
Media Development",Gen. Musharraf,2003-02-03,0.0,54750.0,Yes,Yes
a,Not Specified,"Sheikh  Rashid
Ahmed,  Minister  for
Information  and
Media Development",Gen. Musharraf,2003-02-03,159938.0,22491.0,Yes,Yes
One  wrist  watch,Watch,"Sheikh  Rashid
Ahmed,  Minister  for
Information  and
Media Development",Gen. Musharraf,2003-02-03,55000.0,6750.0,Yes,Yes
Two gold Coins,Not Specified,"Sheikh  Rashid
Ahmed,  Minister  for
Information  and
Media Development",Gen. Musharraf,2003-02-03,32800.0,3420.0,Yes,Yes
One  table  cloth,Not Specified,"Mr.  Shaukat  Aziz,
Finance Minister",Gen. Musharraf,2003-02-06,1000.0,0.0,Auctioned,"Auctioned for
Rs.671/-"
One  pen,Pen,"Mr.  Shaukat  Aziz,
Finance Minister",Gen. Musharraf,2003-02-06,27000.0,2550.0,Yes,Yes
Pair  of  candle,Not Specified,"Col.  Salik  Nawaz
(Retd),  Deputy
Chief of Protocol",Military,2003-02-07,3000.0,0.0,Yes,Yes
Wrist watch Rolex,Watch,"Brig.  Imran  Malik,
Military  Secretary  to
the Prime Minister",Military,2003-02-07,335000.0,48750.0,Yes,Yes
a,Not Specified,"Brig.  Imran  Malik,
Military  Secretary  to
the Prime Minister",Military,2003-02-07,65000.0,8250.0,Yes,Yes
One  wrist  watch,Watch,"Brig.  Imran  Malik,
Military  Secretary  to
the Prime Minister",Military,2003-02-07,45000.0,5250.0,Yes,Yes
Wrist watch Rolex,Watch,"Sqn.  Ldr.  Waqar
Ahmed,  ADC  to  the
Prime Minister",Military,2003-02-07,250000.0,36000.0,Yes,Yes
a,Not Specified,"Sqn.  Ldr.  Waqar
Ahmed,  ADC  to  the
Prime Minister",Military,2003-02-07,38385.0,4258.0,Yes,Yes
One  wrist  watch,Watch,"Sqn.  Ldr.  Waqar
Ahmed,  ADC  to  the
Prime Minister",Military,2003-02-07,45000.0,5250.0,Yes,Yes
Wrist watch Rolex,Watch,"Lt.  Cdr.  Ahmed
Farooq  Butt,  ADC  to
the Prime Minister",Military,2003-02-07,250000.0,36000.0,Yes,Yes
a,Not Specified,"Lt.  Cdr.  Ahmed
Farooq  Butt,  ADC  to
the Prime Minister",Military,2003-02-07,25520.0,2328.0,Yes,Yes
One  wrist  watch,Watch,"Lt.  Cdr.  Ahmed
Farooq  Butt,  ADC  to
the Prime Minister",Military,2003-02-07,45000.0,5250.0,Yes,Yes
Wrist  watch,Watch,"Mr.  Sher  Afgan
Khan,  Additional
Secretary,  Foreign
Affairs",Bureaucracy,2003-02-08,25000.0,2250.0,Yes,Yes
One  jewelry  set,Not Specified,"Mr.  Sher  Afgan
Khan,  Additional
Secretary,  Foreign
Affairs",Bureaucracy,2003-02-08,38225.0,4234.0,Yes,Yes
One  wrist  watch,Watch,"Mr.  Sher  Afgan
Khan,  Additional
Secretary,  Foreign
Affairs",Bureaucracy,2003-02-08,45000.0,5250.0,Yes,Yes
Wrist watch Rolex,Watch,"Dr.  H.  M.  Zafar
Awan,  Personal
Consultant  to  the
Prime Minister",Gen. Musharraf,2003-02-13,335000.0,48750.0,Yes,Yes
a,Not Specified,"Dr.  H.  M.  Zafar
Awan,  Personal
Consultant  to  the
Prime Minister",Gen. Musharraf,2003-02-13,65717.0,8358.0,Yes,Yes
One  wrist  watch,Watch,"Dr.  H.  M.  Zafar
Awan,  Personal
Consultant  to  the
Prime Minister",Gen. Musharraf,2003-02-13,45000.0,5250.0,Yes,Yes
Wrist watch Rolex,Watch,"Malik  Asif  Hayat,
Additional
Secretary,  Prime
Minister Secretariat",Bureaucracy,2003-02-14,335000.0,48750.0,Yes,Yes
a,Not Specified,"Malik  Asif  Hayat,
Additional
Secretary,  Prime
Minister Secretariat",Bureaucracy,2003-02-14,60216.0,7533.0,Yes,Yes
One  wrist  watch,Watch,"Malik  Asif  Hayat,
Additional
Secretary,  Prime
Minister Secretariat",Bureaucracy,2003-02-14,45000.0,5250.0,Yes,Yes
Wrist watch Rolex,Watch,"Syed  Yahya
Manawar,  Political
Secretary  to  the
Prime Minister",Bureaucracy,2003-02-14,115000.0,15750.0,Yes,Yes
